date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2002-07-26,82.67,82.8,82.42,82.51,43.6579,316300.0,0.0,1.0
2002-07-29,82.06,82.16,81.32,81.42,43.0811,8400.0,0.0,1.0
2002-07-30,81.75,81.9,81.52,81.52,43.134,6100.0,0.0,1.0
2002-07-31,81.95,82.8,81.9,82.53,43.6684,29400.0,0.0,1.0
2002-08-01,82.54,83.02,82.54,83.0,43.9171,25000.0,0.0,1.0
2002-08-02,83.16,84.1,82.88,83.85,44.3669,52800.0,0.0,1.0
2002-08-05,84.04,84.44,83.85,84.22,44.5627,61100.0,0.0,1.0
2002-08-06,83.8,83.9,83.22,83.5,44.1817,64900.0,0.0,1.0
2002-08-07,83.6,84.14,83.36,83.7,44.2875,40300.0,0.0,1.0
2002-08-08,83.58,83.77,83.36,83.7,44.2875,40900.0,0.0,1.0
2002-08-09,84.0,84.88,84.0,84.88,44.9119,35900.0,0.0,1.0
2002-08-12,85.3,86.7,85.14,85.4,45.187,32100.0,0.0,1.0
2002-08-13,85.78,86.47,85.37,86.45,45.7426,74300.0,0.0,1.0
2002-08-14,87.46,87.9,86.75,86.78,45.9172,130000.0,0.0,1.0
2002-08-15,86.38,86.5,85.85,86.02,45.5151,87100.0,0.0,1.0
2002-08-16,86.44,86.52,84.82,85.06,45.0071,85000.0,0.0,1.0
2002-08-19,85.05,85.34,84.71,85.32,45.1447,47300.0,0.0,1.0
2002-08-20,85.62,86.29,85.6,86.27,45.6474,40800.0,0.0,1.0
2002-08-21,85.68,86.1,85.63,85.81,45.404,40000.0,0.0,1.0
2002-08-22,85.55,85.55,85.06,85.06,45.0071,34400.0,0.0,1.0
2002-08-23,85.2,85.95,85.2,85.9,45.4516,20100.0,0.0,1.0
2002-08-26,85.7,86.21,85.67,85.98,45.4939,23900.0,0.0,1.0
2002-08-27,85.4,85.68,85.2,85.44,45.2082,301800.0,0.0,1.0
2002-08-28,86.04,86.18,85.84,85.87,45.4357,18100.0,0.0,1.0
2002-08-29,86.76,86.86,86.35,86.56,45.8008,135700.0,0.0,1.0
2002-08-30,86.75,87.13,86.45,87.08,46.0759,78100.0,0.0,1.0
2002-09-03,87.08,88.04,87.0,88.04,46.7811,102100.0,0.3726,1.0
2002-09-04,88.03,88.3,87.84,88.02,46.7704,66300.0,0.0,1.0
2002-09-05,88.57,88.65,87.38,88.5,47.0255,648400.0,0.0,1.0
2002-09-06,87.97,88.19,87.2,87.46,46.4729,140000.0,0.0,1.0
2002-09-09,87.5,87.83,87.26,87.33,46.4038,83800.0,0.0,1.0
2002-09-10,87.17,88.0,87.0,87.75,46.627,336000.0,0.0,1.0
2002-09-11,87.0,87.3,86.75,87.29,46.3825,177700.0,0.0,1.0
2002-09-12,87.48,88.14,87.47,87.97,46.7439,43400.0,0.0,1.0
2002-09-13,88.33,88.94,88.18,88.78,47.1743,155100.0,0.0,1.0
2002-09-16,89.2,89.22,88.9,88.93,47.254,73000.0,0.0,1.0
2002-09-17,88.64,89.32,88.36,89.1,47.3443,75400.0,0.0,1.0
2002-09-18,89.46,89.56,89.02,89.12,47.3549,196600.0,0.0,1.0
2002-09-19,89.7,89.77,89.26,89.72,47.6737,109900.0,0.0,1.0
2002-09-20,89.45,89.52,89.06,89.3,47.4506,113500.0,0.0,1.0
2002-09-23,90.0,90.24,89.77,90.1,47.8757,163200.0,0.0,1.0
2002-09-24,90.3,90.94,90.21,90.68,48.1838,251900.0,0.0,1.0
2002-09-25,90.1,90.36,89.26,89.58,47.5994,127200.0,0.0,1.0
2002-09-26,89.05,89.53,88.61,89.37,47.4878,428600.0,0.0,1.0
2002-09-27,89.53,90.04,89.48,90.04,47.8438,298200.0,0.0,1.0
2002-09-30,90.66,90.9,90.08,90.4,48.0351,297800.0,0.0,1.0
2002-10-01,89.16,89.3,88.8,88.94,47.4414,257500.0,0.3427,1.0
2002-10-02,89.24,89.48,88.84,89.45,47.7134,91000.0,0.0,1.0
2002-10-03,89.3,89.51,88.8,89.23,47.5961,29900.0,0.0,1.0
2002-10-04,88.4,89.72,88.4,89.51,47.7454,131000.0,0.0,1.0
2002-10-07,89.9,89.96,89.46,89.66,47.8254,433800.0,0.0,1.0
2002-10-08,89.5,90.52,89.32,89.69,47.8414,530900.0,0.0,1.0
2002-10-09,90.3,90.38,89.95,90.15,48.0868,402900.0,0.0,1.0
2002-10-10,90.17,90.17,89.28,89.44,47.7081,97100.0,0.0,1.0
2002-10-11,89.1,89.22,88.06,88.38,47.1427,421800.0,0.0,1.0
2002-10-14,88.5,88.55,88.07,88.25,47.0733,18300.0,0.0,1.0
2002-10-15,87.0,87.3,86.15,86.16,45.9585,297100.0,0.0,1.0
2002-10-16,86.6,86.6,85.89,86.2,45.9798,125200.0,0.0,1.0
2002-10-17,85.14,85.56,85.07,85.15,45.4198,233400.0,0.0,1.0
2002-10-18,85.02,85.39,84.28,85.37,45.5371,459100.0,0.0,1.0
2002-10-21,85.5,85.6,84.5,84.54,45.0944,134900.0,0.0,1.0
2002-10-22,84.85,84.85,84.22,84.3,44.9664,215800.0,0.0,1.0
2002-10-23,84.75,85.2,84.18,84.33,44.9824,127900.0,0.0,1.0
2002-10-24,84.16,85.25,84.08,85.07,45.3771,339600.0,0.0,1.0
2002-10-25,85.35,85.56,85.15,85.38,45.5424,146100.0,0.0,1.0
2002-10-28,85.56,85.64,85.2,85.26,45.4784,97800.0,0.0,1.0
2002-10-29,85.82,86.89,85.77,86.37,46.0705,125000.0,0.0,1.0
2002-10-30,86.37,86.68,86.07,86.34,46.0545,31900.0,0.0,1.0
2002-10-31,86.05,86.86,86.02,86.73,46.2625,512700.0,0.0,1.0
2002-11-01,86.3,86.93,85.25,85.98,46.0699,125100.0,0.3888,1.0
2002-11-04,85.48,85.75,85.25,85.6,45.8663,342500.0,0.0,1.0
2002-11-05,85.6,85.6,85.09,85.27,45.6894,73800.0,0.0,1.0
2002-11-06,85.05,86.13,84.91,85.61,45.8716,118500.0,0.0,1.0
2002-11-07,87.05,87.73,86.85,87.73,47.0076,147900.0,0.0,1.0
2002-11-08,88.4,88.65,87.95,88.44,47.388,294700.0,0.0,1.0
2002-11-11,88.55,88.92,88.4,88.92,47.6452,70000.0,0.0,1.0
2002-11-12,89.15,89.15,88.37,88.41,47.3719,494300.0,0.0,1.0
2002-11-13,88.45,88.69,87.96,88.6,47.4737,104700.0,0.0,1.0
2002-11-14,87.65,87.65,86.76,86.76,46.4878,118000.0,0.0,1.0
2002-11-15,86.54,87.23,86.26,87.11,46.6754,110700.0,0.0,1.0
2002-11-18,87.02,87.63,86.96,87.5,46.8843,32200.0,0.0,1.0
2002-11-19,87.95,88.23,87.51,87.82,47.0558,51800.0,0.0,1.0
2002-11-20,88.2,88.22,86.81,86.96,46.595,307400.0,0.0,1.0
2002-11-21,86.5,86.5,85.86,86.12,46.1449,323200.0,0.0,1.0
2002-11-22,86.33,86.39,85.88,86.04,46.102,184800.0,0.0,1.0
2002-11-25,86.0,86.38,85.8,85.88,46.0163,288200.0,0.0,1.0
2002-11-26,86.2,87.02,86.15,86.96,46.595,377800.0,0.0,1.0
2002-11-27,86.25,86.33,84.96,85.0,45.5448,325600.0,0.0,1.0
2002-11-29,85.16,85.63,85.14,85.55,45.8395,31700.0,0.0,1.0
2002-12-02,84.36,85.4,84.15,85.24,45.8821,284900.0,0.3895,1.0
2002-12-03,85.7,85.7,85.12,85.36,45.9467,113800.0,0.0,1.0
2002-12-04,85.9,86.0,85.55,85.8,46.1835,129000.0,0.0,1.0
